epoch,accuracy,dice_coef,loss,lr,mean_io_u_3,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u_3,val_precision,val_sensitivity,val_specificity
0,0.974162757396698,0.2661471366882324,0.15018907189369202,0.001,0.583014190196991,0.9742448925971985,0.9641960263252258,0.9928251504898071,0.9762769341468811,0.28690069913864136,0.09358780831098557,0.6951467990875244,0.9772216081619263,0.9720163941383362,0.9924520254135132
1,0.9783350825309753,0.2736004590988159,0.09388276189565659,0.001,0.6087627410888672,0.9782976508140564,0.9779810905456543,0.9927961826324463,0.9762770533561707,0.2765893340110779,0.0969904363155365,0.5027596950531006,0.9759295582771301,0.9759340882301331,0.9920384287834167
2,0.9783346056938171,0.2777649462223053,0.08812113106250763,0.001,0.6344432234764099,0.9789165258407593,0.9774010181427002,0.9929878115653992,0.9762770533561707,0.27898067235946655,0.08986011892557144,0.6585763692855835,0.97627854347229,0.9760626554489136,0.9921293258666992
3,0.9777353405952454,0.29746466875076294,0.07913810014724731,0.001,0.5671645402908325,0.9804396629333496,0.9761589169502258,0.9934909343719482,0.9763671159744263,0.29102835059165955,0.07943323254585266,0.44895803928375244,0.9766485691070557,0.9760208129882812,0.9922384023666382
4,0.9786973595619202,0.29997673630714417,0.0878961831331253,0.001,0.5493483543395996,0.9825710654258728,0.9749573469161987,0.9941645860671997,0.9762976169586182,0.28778156638145447,0.10118668526411057,0.37577155232429504,0.9771431684494019,0.9711208939552307,0.9924524426460266
5,0.9789192080497742,0.31371554732322693,0.07657457888126373,0.001,0.6352697610855103,0.9817623496055603,0.9764388203620911,0.9939144849777222,0.9792997241020203,0.3358997404575348,0.06922736018896103,0.38548344373703003,0.9819409251213074,0.9772709012031555,0.9939785599708557
6,0.9810917377471924,0.36445337533950806,0.06168541684746742,0.001,0.5006260871887207,0.9868014454841614,0.9755080342292786,0.9955301284790039,0.9778028130531311,0.3445015847682953,0.0654318630695343,0.3758474588394165,0.981781005859375,0.9759056568145752,0.9939241409301758
7,0.9824090003967285,0.38708651065826416,0.05594046786427498,0.001,0.618644118309021,0.9870944619178772,0.9779374599456787,0.9956306219100952,0.9829275608062744,0.42499151825904846,0.050591643899679184,0.7262356281280518,0.9888903498649597,0.9770591259002686,0.9961518049240112
8,0.9844378232955933,0.42045196890830994,0.048747505992650986,0.001,0.6447719931602478,0.988139271736145,0.9804609417915344,0.9959849715232849,0.9846886992454529,0.4411369562149048,0.045578502118587494,0.766582190990448,0.9900131225585938,0.9791303277015686,0.9965546131134033
9,0.9851400256156921,0.43655475974082947,0.04684001952409744,0.001,0.5820585489273071,0.98884117603302,0.9810112714767456,0.9962050914764404,0.9836617708206177,0.4431549310684204,0.04704057052731514,0.6949642300605774,0.9866581559181213,0.9809611439704895,0.9955254793167114
10,0.984900951385498,0.43543532490730286,0.046518512070178986,0.001,0.7316450476646423,0.9885261058807373,0.9812304973602295,0.9961276054382324,0.9845569133758545,0.45217710733413696,0.04629415646195412,0.4155440330505371,0.9896996021270752,0.979086697101593,0.99648118019104
11,0.9878703355789185,0.47822025418281555,0.036158137023448944,0.00020000001,0.5951704978942871,0.9905174970626831,0.984504759311676,0.99676913022995,0.9867647886276245,0.4939537048339844,0.037719178944826126,0.7704441547393799,0.9897921681404114,0.983197808265686,0.9965304732322693
